관광지명,Group6,Group6_tag
513텐동,1,['반려동물']
9.81 파크,1,['반려동물']
Cafe 몽스파,1,['반려동물']
minagrooming(미나그루밍),1,['반려동물']
개떼목장,1,"['반려동물', '애견']"
개미남,1,"['반려동물', '애견']"
개인공간,1,"['반려동물', '애견']"
고려민박,1,['반려동물']
고성2119펜션위플레이독,1,['반려동물']
곽지해수욕장,1,['반려동물']
광치기해변,1,['반려동물']
귤빛캠핑장,1,['반려동물']
그대와함께라면,1,['반려동물']
그레이그로브,1,['반려동물']
그루밍제주,1,"['반려동물', '애견']"
그림그리는펜션,1,['반려동물']
그초록,1,['반려동물']
금능이큐스테이호텔,1,['반려동물']
금능제면소,1,['반려동물']
금능해수욕장,1,['반려동물']
금요일의아침조금,1,['반려동물']
김녕해수욕장,1,['반려동물']
김만덕객주,1,['반려동물']
깅코,1,['반려동물']
꼬라지오,1,['반려동물']
나무식탁,1,['반려동물']
낙천리아홉굿의자마을,1,['반려동물']
난드르바당,1,['반려동물']
난산리다방,1,['반려동물']
너는파라다이스길리,1,['반려동물']
노리매공원,1,['반려동물']
놀멍쉬멍고르멍(애견카페),1,['반려동물']
놀자개,1,"['반려동물', '애견']"
높은오름,1,['반려동물']
누바비치,1,['반려동물']
니모메빈티지라운지,1,['반려동물']
다니쉬,1,['반려동물']
단산(바굼지오름),1,['반려동물']
달이뜨는식탁,1,['반려동물']
달중이네펫호텔,1,['반려동물']
당포로나인돈카츠,1,['반려동물']
댕금님표수제간식,1,"['반려동물', '애견']"
댕댕놀이터,1,"['반려동물', '애견']"
댕댕샤워,1,"['반려동물', '애견']"
댕댕스위트,1,"['반려동물', '애견']"
더리트리브,1,['반려동물']
더칠린,1,['반려동물']
더펫츠,1,['반려동물']
도곤도곤 애견미용실,1,"['반려동물', '애견']"
도그앤캣,1,"['반려동물', '애견']"
도도펫,1,"['반려동물', '애견']"
도두동 무지개 해안도로,1,['반려동물']
도두봉,1,['반려동물']
도을,1,['반려동물']
도치돌 알파카목장,1,['반려동물']
돈블링65,1,['반려동물']
돈파스타정원,1,['반려동물']
돌담넘는고양이,1,['반려동물']
동거문이오름,1,['반려동물']
동명정류장,1,['반려동물']
돼지굽는정원,1,['반려동물']
두산봉(말미오름),1,['반려동물']
뒹굴개,1,"['반려동물', '애견']"
드르쿰다인성산,1,['반려동물']
디어마이프렌즈,1,['반려동물']
디어펫,1,"['반려동물', '애견']"
따라비오름,1,['반려동물']
라이프동물병원,1,['반려동물']
라임오렌지빌,1,['반려동물']
라임오렌지카페앤플라워,1,['반려동물']
라트반,1,['반려동물']
러블리독스,1,"['반려동물', '애견']"
레이지펌프,1,['반려동물']
레프트핸더 게스트하우스,1,['반려동물']
로빙화,1,['반려동물']
르카페하도,1,['반려동물']
리빙스톤펜션,1,['반려동물']
리치망고,1,['반려동물']
리틀화이트,1,['반려동물']
마녀의언덕 펜션,1,['반려동물']
마노르블랑,1,['반려동물']
마레카펜션,1,['반려동물']
마음에온,1,['반려동물']
마이애미함독카페,1,"['반려동물', '애견']"
만복흑돼지,1,['반려동물']
말이,1,['반려동물']
멍더랜드,1,"['반려동물', '애견']"
멍멍플레이스,1,['반려동물']
메리앤폴,1,['반려동물']
메이즈랜드,1,['반려동물']
명리동식당구좌직영점,1,['반려동물']
명상가의집,1,['반려동물']
명월국민학교,1,['반려동물']
모몽더티하우스,1,['반려동물']
목장카페 드르쿰다,1,['반려동물']
몽story,1,"['반려동물', '애견']"
몽몽까까,1,['반려동물']
무거버거,1,['반려동물']
문쏘,1,['반려동물']
미스틱3도,1,['반려동물']
바다를본돼지(판포점),1,['반려동물']
바다스케치,1,['반려동물']
바산올레 애견동반 펜션,1,['반려동물']
바우하우스,1,['반려동물']
방림원,1,['반려동물']
배롱정원,1,['반려동물']
백수당,1,['반려동물']
벙커하우스,1,['반려동물']
베콩스,1,"['반려동물', '애견']"
보롬왓,1,['반려동물']
본카페,1,['반려동물']
볼스카페,1,['반려동물']
봉구의간식,1,['반려동물']
봉구의간식제주롯데마트점,1,['반려동물']
뵤뵤,1,['반려동물']
북촌돌하르방미술관,1,['반려동물']
블란디야,1,['반려동물']
블랙이쉬레드,1,['반려동물']
블루메베이글,1,['반려동물']
블리스풀,1,['반려동물']
비만고양이,1,['반려동물']
비체올린,1,['반려동물']
삐삐그루밍,1,"['반려동물', '애견']"
산방산둘레길,1,['반려동물']
삼양해수욕장,1,['반려동물']
삼화훈동물병원,1,['반려동물']
새물국수,1,['반려동물']
새별오름,1,['반려동물']
생각하는정원,1,['반려동물']
서귀포 늘바다 애견동반펜션,1,['반려동물']
서귀포돈사촌,1,['반려동물']
서귀포흑돈,1,['반려동물']
서머셋 제주신화월드 호텔앤리조트,1,['반려동물']
서우봉,1,['반려동물']
서프라이즈테마파크,1,['반려동물']
서홍정원,1,['반려동물']
섭지코지,1,['반려동물']
성산마씸,1,['반려동물']
성산연화,1,['반려동물']
성산풀하우스,1,['반려동물']
성이시돌목장,1,['반려동물']
소금빵까페 키친오즈,1,"['반려동물', '애견']"
소노벨제주,1,['반려동물']
소노캄제주,1,['반려동물']
소소밀,1,['반려동물']
소인국테마파크,1,['반려동물']
솔트스톤브이점,1,['반려동물']
송당나무,1,['반려동물']
숨도(구.석부작박물관),1,['반려동물']
쉐프1192레스토랑,1,['반려동물']
쉼멍스테이,1,['반려동물']
슈몽슈몽,1,"['반려동물', '애견']"
스누피가든,1,['반려동물']
스마일러펫,1,['반려동물']
스시혼,1,['반려동물']
스위트모텔,1,['반려동물']
스테이지 버거,1,['반려동물']
스팅그레이,1,['반려동물']
슬로보트,1,['반려동물']
시루네펜션,1,['반려동물']
식전당포,1,['반려동물']
신양섭지해수욕장,1,['반려동물']
신창풍차해안도로,1,['반려동물']
아뜨네통나무펜션,1,['반려동물']
아라i동물병원,1,['반려동물']
아란치아,1,['반려동물']
아부오름,1,['반려동물']
아스쿰,1,['반려동물']
아우아우,1,['반려동물']
아지트포독,1,['반려동물']
아침미소목장,1,['반려동물']
"안녕, 상이 친구들",1,"['반려동물', '애견']"
앙리젤,1,"['반려동물', '애견']"
애견동반 상추네,1,['반려동물']
애월더선셋,1,['반려동물']
애월오누이,1,['반려동물']
애월한담해안산책로,1,['반려동물']
야크마을,1,['반려동물']
양가형제,1,['반려동물']
양가형제노형,1,['반려동물']
어반정글 부얀트무드,1,['반려동물']
어반정글그레이밤부,1,['반려동물']
에메랄드하우스,1,['반려동물']
에퀴녹스 드 협재,1,['반려동물']
엔젤하우스,1,['반려동물']
엘파소,1,['반려동물']
엠버퓨어힐호텔&리조트,1,['반려동물']
여미지식물원,1,['반려동물']
예래생태체험관,1,['반려동물']
예이츠산장,1,['반려동물']
예촌민박,1,['반려동물']
옛마을펜션,1,['반려동물']
오데뜨,1,['반려동물']
오롯바이에퀴녹스,1,['반려동물']
오멍가멍 애견카페&호텔,1,['반려동물']
오버더센스,1,['반려동물']
오설록티뮤지엄,1,['반려동물']
온더스톤펜션,1,['반려동물']
올디벗구디,1,['반려동물']
올레해오름펜션,1,['반려동물']
옵데가바이에퀴녹스,1,['반려동물']
와랑식탁,1,['반려동물']
외도339,1,['반려동물']
요기개,1,['반려동물']
요람,1,"['반려동물', '애견']"
요우르,1,['반려동물']
"우연히,그곳",1,['반려동물']
웁스마이독,1,['반려동물']
월령선인장군락지,1,['반려동물']
월정조용한카페앤펍,1,['반려동물']
웨스티하우스,1,['반려동물']
유수암캠핑장,1,['반려동물']
유진팡 열대과일농장,1,['반려동물']
유캔들잇스튜디오,1,['반려동물']
이너프,1,['반려동물']
이도씨동물의료센터,1,['반려동물']
이루다동물병원,1,['반려동물']
이호테우해수욕장,1,['반려동물']
인더 하우스,1,['반려동물']
인스밀,1,['반려동물']
인터포레스트,1,['반려동물']
일이오구스튜디오,1,['반려동물']
일출랜드,1,['반려동물']
제라펫,1,"['반려동물', '애견']"
제이원카트클럽,1,['반려동물']
제이펜션,1,['반려동물']
제주 에코 스위츠 펜션,1,['반려동물']
제주고산리유적,1,['반려동물']
제주기와,1,['반려동물']
제주다원 녹차미로공원,1,['반려동물']
제주댕댕스푼,1,['반려동물']
제주돌창고,1,['반려동물']
제주레일바이크,1,['반려동물']
제주레포츠랜드,1,['반려동물']
제주만주,1,['반려동물']
제주민속촌,1,['반려동물']
제주불빛정원 테마파크,1,['반려동물']
제주블루앤씨펜션,1,['반려동물']
제주스런서귀포점,1,['반려동물']
제주스럽닭서귀포올레점,1,['반려동물']
제주앓이,1,['반려동물']
제주애견학교,1,"['반려동물', '애견']"
제주애단비,1,['반려동물']
제주애물들다,1,['반려동물']
제주애빛나다,1,['반려동물']
제주애설레다,1,['반려동물']
제주야자원,1,['반려동물']
제주에인감귤밭,1,['반려동물']
제주오누이,1,['반려동물']
제주와싱톤,1,['반려동물']
제주캠핑올레,1,['반려동물']
제주코기네,1,['반려동물']
제주펫,1,['반려동물']
제주펫스쿨,1,['반려동물']
제주허브동산,1,['반려동물']
제주힐링명상센터,1,['반려동물']
조남매구움과자,1,['반려동물']
조은동물병원,1,['반려동물']
족은노꼬메오름,1,['반려동물']
주네가네,1,['반려동물']
중문모메든식당,1,['반려동물']
중문색달해수욕장,1,['반려동물']
짚불도,1,['반려동물']
차귀도유람선,1,['반려동물']
찰리아저씨맛집,1,['반려동물']
채우리네펜션,1,['반려동물']
청춘부부,1,['반려동물']
초원게스트하우스,1,['반려동물']
춘식이와옥희,1,"['반려동물', '애견']"
친봉산장,1,['반려동물']
카멜리아힐,1,['반려동물']
카페 글렌코,1,['반려동물']
카페 라라라,1,['반려동물']
카페느슨,1,['반려동물']
카페달보름,1,['반려동물']
카페델보스케,1,['반려동물']
카페록록,1,['반려동물']
카페루시아,1,['반려동물']
카페말로,1,['반려동물']
카페사분의이,1,['반려동물']
카페숑,1,['반려동물']
카페씨닉,1,['반려동물']
카페오늘의바다,1,['반려동물']
카페유주,1,['반려동물']
카페텐저린,1,['반려동물']
카페퍼시몬,1,['반려동물']
카페희상,1,['반려동물']
캠파제주,1,['반려동물']
캣츠앤독스,1,['반려동물']
커브커피스토어,1,['반려동물']
코기절미,1,"['반려동물', '애견']"
코코메아,1,['반려동물']
쿠키네,1,['반려동물']
쿠킹독,1,['반려동물']
크리스마스리조트,1,['반려동물']
큰노꼬메오름,1,['반려동물']
큰사슴이오름,1,['반려동물']
킴스캐빈,1,['반려동물']
탐라갈치,1,['반려동물']
테디베어뮤지엄제주,1,['반려동물']
테이블앤데스크,1,['반려동물']
트라이브,1,['반려동물']
튼튼동물병원,1,['반려동물']
파더스가든,1,['반려동물']
퍼피홀릭,1,"['반려동물', '애견']"
펫마마스푸드,1,['반려동물']
펫소풍,1,['반려동물']
펫플러스,1,"['반려동물', '애견']"
평대리멍석,1,['반려동물']
평대우유차,1,['반려동물']
포브독,1,"['반려동물', '애견']"
표선해수욕장,1,['반려동물']
푸르곤,1,['반려동물']
퓸퓸몽,1,"['반려동물', '애견']"
플라이오조,1,['반려동물']
플레이스엉물,1,['반려동물']
플레이커피랩,1,['반려동물']
하늘오름펜션,1,['반려동물']
하이제주호텔,1,['반려동물']
한라동물종합병원,1,['반려동물']
한라마테우리,1,['반려동물']
한라산소갈비찜,1,['반려동물']
한림공원,1,['반려동물']
한림동물병원,1,['반려동물']
한화리조트 제주,1,['반려동물']
함덕해수욕장,1,['반려동물']
해맑은동물병원,1,['반려동물']
해피애견놀이방,1,"['반려동물', '애견']"
협재이길,1,['반려동물']
협재해물라면오빠네,1,['반려동물']
협재해수욕장,1,['반려동물']
호루의한끼,1,['반려동물']
화순금모래해수욕장,1,['반려동물']
황금빅버거,1,['반려동물']
휘닉스 아일랜드 제주,1,['반려동물']
휴애리 자연생활공원,1,['반려동물']
